n.uri,m.contractpartyid,r.haseffectivedate,r.hasexpirationdate,r.hasposition,r.hastitle,o.uri
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000007,400000000007,"""2005-12-06T00:00:00""","""2008-01-02T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3098
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000007,400000000007,"""2011-03-30T00:00:00""","""2016-05-20T00:00:00""",Officer,DIRECTOR,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1003
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000008,400000000008,"""2005-12-30T00:00:00""","""2006-01-26T00:00:00""",Officer,GENERAL MANAGER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3099
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000008,400000000008,"""2011-04-01T00:00:00""","""2013-12-31T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1004
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000016,400000000016,"""2006-06-14T00:00:00""","""2008-08-01T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3107
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000016,400000000016,"""2012-03-07T00:00:00""","""2012-07-06T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1012
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000017,400000000017,"""2006-06-30T00:00:00""","""2006-06-30T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3108
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000017,400000000017,"""2012-03-28T00:00:00""","""2014-05-15T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1013
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000014,400000000014,"""2006-05-18T00:00:00""","""2014-08-14T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3105
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000014,400000000014,"""2012-01-27T00:00:00""","""2016-12-31T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1010
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000015,400000000015,"""2006-05-24T00:00:00""","""2006-05-24T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3106
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000015,400000000015,"""2012-03-06T00:00:00""","""2013-02-13T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1011
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000018,400000000018,"""2006-07-12T00:00:00""","""2009-03-16T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3109
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000018,400000000018,"""2012-05-04T00:00:00""","""2013-01-16T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1014
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000019,400000000019,"""2006-07-26T00:00:00""","""2010-09-27T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3110
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000019,400000000019,"""2012-06-27T00:00:00""","""2013-03-01T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1015
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000012,400000000012,"""2006-03-09T00:00:00""","""2006-11-15T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3103
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000012,400000000012,"""2011-09-01T00:00:00""","""2016-07-22T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1008
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000013,400000000013,"""2006-05-15T00:00:00""","""2006-05-15T00:00:00""",Officer,CHIEF MEDICAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3104
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000013,400000000013,"""2011-11-21T00:00:00""","""2015-03-03T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1009
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000011,400000000011,"""2006-02-09T00:00:00""","""2012-02-01T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3102
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000011,400000000011,"""2011-08-02T00:00:00""","""2012-01-27T00:00:00""",Officer,CHIEF TECHNOLOGY OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1007
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000020,400000000020,"""2006-09-27T00:00:00""","""2015-10-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3111
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000020,400000000020,"""2012-07-25T00:00:00""","""2016-12-14T00:00:00""",Officer,RISK OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1016
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000021,400000000021,"""2006-11-01T00:00:00""","""2006-11-01T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3112
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000021,400000000021,"""2012-08-17T00:00:00""","""2012-08-17T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1017
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000237,400000000237,"""2014-03-11T00:00:00""","""2015-11-17T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1233
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000237,400000000237,"""2014-02-18T00:00:00""","""2015-04-15T00:00:00""",Officer,CHIEF BUSINESS OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1007
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000238,400000000238,"""2014-03-11T00:00:00""","""2015-10-27T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1234
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000238,400000000238,"""2014-03-01T00:00:00""","""2016-09-22T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1008
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000239,400000000239,"""2014-03-21T00:00:00""","""2016-03-10T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1235
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000239,400000000239,"""2014-03-03T00:00:00""","""2016-03-01T00:00:00""",Officer,UNKNOWN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1009
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000247,400000000247,"""2014-12-31T00:00:00""","""2014-12-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1243
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000247,400000000247,"""2003-06-30T00:00:00""","""2005-07-05T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1017
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000245,400000000245,"""2014-10-28T00:00:00""","""2014-10-28T00:00:00""",Officer,GENERAL MANAGER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1241
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000245,400000000245,"""2015-06-05T00:00:00""","""2015-06-05T00:00:00""",Officer,CHIEF LANDING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1015
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000246,400000000246,"""2014-12-05T00:00:00""","""2016-06-01T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1242
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000246,400000000246,"""2015-06-30T00:00:00""","""2016-08-10T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1016
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000240,400000000240,"""2014-04-28T00:00:00""","""2014-11-20T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1236
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000240,400000000240,"""2014-08-13T00:00:00""","""2015-06-29T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1010
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000243,400000000243,"""2014-08-07T00:00:00""","""2014-08-07T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1239
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000243,400000000243,"""2015-01-01T00:00:00""","""2016-04-30T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1013
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000244,400000000244,"""2014-08-22T00:00:00""","""2016-10-14T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1240
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000244,400000000244,"""2015-02-25T00:00:00""","""2015-02-25T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1014
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000241,400000000241,"""2014-04-30T00:00:00""","""2017-01-04T00:00:00""",Officer,CHIEF ACCOUNTING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1237
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000241,400000000241,"""2014-11-01T00:00:00""","""2016-07-01T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1011
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000242,400000000242,"""2014-07-08T00:00:00""","""2016-04-26T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1238
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000242,400000000242,"""2014-11-21T00:00:00""","""2014-11-21T00:00:00""",Officer,CHIEF OPERATING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1012
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000256,400000000256,"""2010-09-21T00:00:00""","""2013-09-06T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1252
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000256,400000000256,"""2009-04-03T00:00:00""","""2009-04-03T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1026
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000257,400000000257,"""2010-11-04T00:00:00""","""2010-11-04T00:00:00""",Officer,UNKNOWN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1253
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000257,400000000257,"""2009-04-28T00:00:00""","""2009-10-07T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1027
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000250,400000000250,"""2010-06-01T00:00:00""","""2012-01-20T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1246
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000250,400000000250,"""2008-07-01T00:00:00""","""2010-08-11T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1020
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000251,400000000251,"""2010-06-03T00:00:00""","""2013-05-15T00:00:00""",Officer,CHIEF MARKETING OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1247
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000251,400000000251,"""2008-09-03T00:00:00""","""2008-09-03T00:00:00""",Officer,PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1021
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000254,400000000254,"""2010-07-06T00:00:00""","""2014-01-22T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1250
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000254,400000000254,"""2009-03-10T00:00:00""","""2010-10-28T00:00:00""",Officer,CHIEF MEDICAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1024
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000255,400000000255,"""2010-08-02T00:00:00""","""2010-08-02T00:00:00""",Officer,TREASURER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1251
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000255,400000000255,"""2009-03-23T00:00:00""","""2009-06-12T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1025
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000252,400000000252,"""2010-06-14T00:00:00""","""2010-06-14T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1248
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000252,400000000252,"""2008-12-04T00:00:00""","""2016-05-09T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1022
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000253,400000000253,"""2010-07-02T00:00:00""","""2011-03-02T00:00:00""",Officer,CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1249
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000253,400000000253,"""2009-02-10T00:00:00""","""2011-02-11T00:00:00""",Officer,TREASURER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1023
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000027,400000000027,"""2007-03-12T00:00:00""","""2007-04-11T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3118
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000027,400000000027,"""2013-07-08T00:00:00""","""2013-07-08T00:00:00""",Officer,INTERIM CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1023
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000028,400000000028,"""2007-03-13T00:00:00""","""2011-02-23T00:00:00""",Officer,CHAIRMAN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3119
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000028,400000000028,"""2013-08-01T00:00:00""","""2016-08-08T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1024
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000025,400000000025,"""2007-01-24T00:00:00""","""2010-01-26T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3116
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000025,400000000025,"""2013-06-03T00:00:00""","""2015-08-05T00:00:00""",Officer,CHIEF DEVELOPMENT OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1021
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000026,400000000026,"""2007-02-13T00:00:00""","""2007-02-13T00:00:00""",Officer,REG. PRES.,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3117
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000026,400000000026,"""2013-07-01T00:00:00""","""2016-10-24T00:00:00""",Officer,GLOBAL CHIEF INFORMATION OFF,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1022
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000029,400000000029,"""2007-03-16T00:00:00""","""2007-11-07T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3120
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000029,400000000029,"""2013-08-06T00:00:00""","""2016-09-02T00:00:00""",Officer,GENERAL COUNSEL,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1025
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000023,400000000023,"""2006-12-31T00:00:00""","""2011-10-14T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3114
